基金代码,基金周增长,基金月增长,基金3月增长,基金6月增长,基金年增长,最大回撤,收益波动率,基金6月增长排名,基金年增长排名,最大回撤排名,总平均排名
009789,0.054985398414685,0.054985398414685,0.054985398414685,0.054985398414685,0.054985398414685,0.2114,0.0131,296.0,296.0,183.5,258.5
012519,0.0592259394620936,0.0592259394620936,0.0592259394620936,0.0592259394620936,0.0592259394620936,0.2627,0.0194,211.0,211.0,357.0,259.6666666666667
010795,0.1009802605075868,0.1009802605075868,0.1009802605075868,0.1009802605075868,0.1009802605075868,0.3328,0.0172,4.0,4.0,784.5,264.1666666666667
005083,0.0577164366373902,0.0577164366373902,0.0577164366373902,0.0577164366373902,0.0577164366373902,0.2562,0.0043,239.0,239.0,321.5,266.5
010796,0.1011205616308896,0.1011205616308896,0.1011205616308896,0.1011205616308896,0.1011205616308896,0.3344,0.0174,3.0,3.0,800.0,268.6666666666667
008188,0.0568819452084937,0.0568819452084937,0.0568819452084937,0.0568819452084937,0.0568819452084937,0.2542,0.0067,250.0,250.0,314.0,271.3333333333333
872021,0.055477236918484,0.055477236918484,0.055477236918484,0.055477236918484,0.055477236918484,0.2431,0.0137,281.0,281.0,264.0,275.3333333333333
010273,0.0602561170820946,0.0602561170820946,0.0602561170820946,0.0602561170820946,0.0602561170820946,0.2843,0.0112,197.0,197.0,468.0,287.3333333333333
010274,0.0602853198343304,0.0602853198343304,0.0602853198343304,0.0602853198343304,0.0602853198343304,0.2873,0.0113,196.0,196.0,486.0,292.6666666666667
010723,0.0744720729726352,0.0744720729726352,0.0744720729726352,0.0744720729726352,0.0744720729726352,0.3314,0.013,52.0,52.0,775.0,293.0
008515,0.0777360263034288,0.0777360263034288,0.0777360263034288,0.0777360263034288,0.0777360263034288,0.3362,0.0119,36.0,36.0,817.5,296.5
003416,0.0552172825089663,0.0552172825089663,0.0552172825089663,0.0552172825089663,0.0552172825089663,0.2564,0.0108,288.0,288.0,323.0,299.6666666666667
007952,0.0552975939214857,0.0552975939214857,0.0552975939214857,0.0552975939214857,0.0552975939214857,0.2578,0.0107,284.0,284.0,332.0,300.0
008312,0.0695928385792665,0.0695928385792665,0.0695928385792665,0.0695928385792665,0.0695928385792665,0.3265,0.0141,85.0,85.0,743.5,304.5
000432,0.0606060606060606,0.0606060606060606,0.0606060606060606,0.0606060606060606,0.0606060606060606,0.299,0.0137,188.0,188.0,551.5,309.1666666666667
010724,0.0746551942300392,0.0746551942300392,0.0746551942300392,0.0746551942300392,0.0746551942300392,0.3377,0.0134,51.0,51.0,833.0,311.6666666666667
260115,0.060559796437659,0.060559796437659,0.060559796437659,0.060559796437659,0.060559796437659,0.303,0.006,189.0,189.0,571.5,316.5
010761,0.0504164451532872,0.0504164451532872,0.0504164451532872,0.0504164451532872,0.0504164451532872,0.2274,0.0151,370.0,370.0,226.0,322.0
010348,0.0571866525173918,0.0571866525173918,0.0571866525173918,0.0571866525173918,0.0571866525173918,0.2891,0.0122,245.0,245.0,497.0,329.0
167508,0.0573929961089494,0.0573929961089494,0.0573929961089494,0.0573929961089494,0.0573929961089494,0.2932,0.0122,243.0,243.0,515.0,333.6666666666667
009264,0.0635798874005046,0.0635798874005046,0.0635798874005046,0.0635798874005046,0.0635798874005046,0.3233,0.0092,150.0,150.0,714.0,338.0
